Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,Plugin Output
"22964","","","None","192.168.9.15","tcp","902","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","A VMware authentication daemon is running on this port."
"22964","","","None","192.168.9.15","tcp","912","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","A VMware authentication daemon is running on this port."
"24786","","","None","192.168.9.15","tcp","0","Nessus Windows Scan Not Performed with Admin Privileges","The Nessus scan of this host may be incomplete due to insufficient
privileges provided.","The Nessus scanner testing the remote host has been given SMB
credentials to log into the remote host, however these credentials do
not have administrative privileges. 

Typically, when Nessus performs a patch audit, it logs into the remote
host and reads the version of the DLLs on the remote host to determine
if a given patch has been applied or not.  This is the method Microsoft
recommends to determine if a patch has been applied. 

If your Nessus scanner does not have administrative privileges when
doing a scan, then Nessus has to fall back to perform a patch audit
through the registry which may lead to false positives (especially when
using third-party patch auditing tools) or to false negatives (not all
patches can be detected through the registry).","Reconfigure your scanner to use credentials with administrative
privileges.","
It was not possible to connect to '\\904-STUDENT9\ADMIN$' with the supplied credentials.
"
"25220","","","None","192.168.9.15","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a",""
"26917","","","None","192.168.9.15","tcp","445","Microsoft Windows SMB Registry : Nessus Cannot Access the Windows Registry","Nessus is not able to access the remote Windows Registry.","It was not possible to connect to PIPE\winreg on the remote host.

If you intend to use Nessus to perform registry-based checks, the
registry checks will not work because the 'Remote Registry Access'
service (winreg) has been disabled on the remote host or can not be
connected to with the supplied credentials.","n/a","Could not connect to the registry because:
Could not connect to \winreg"
"35716","","","None","192.168.9.15","tcp","0","Ethernet Card Manufacturer Detection","The manufacturer can be deduced from the Ethernet OUI.","Each ethernet MAC address starts with a 24-bit 'Organizationally 
Unique Identifier'.
These OUI are registered by IEEE.","n/a","
The following card manufacturers were identified :

00:22:4d:4d:54:34 : MITAC INTERNATIONAL CORP.
"
"43815","","","None","192.168.9.15","udp","137","NetBIOS Multiple IP Address Enumeration","The remote host is configured with multiple IP addresses.","By sending a special NetBIOS query, Nessus was able to detect the use
of multiple IP addresses on the remote host.  This indicates the host
may be running virtualization software, a VPN client, or has multiple
network interfaces.","n/a","
The remote host appears to be using the following IP addresses :

  - 192.168.9.15
  - 192.168.163.1
  - 192.168.26.1
"
"45590","","","None","192.168.9.15","tcp","0","Common Platform Enumeration (CPE)","It is possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information available
from the scan.","n/a","
The remote operating system matched the following CPE : 

  cpe:/o:microsoft:windows_7:::enterprise
"
"54615","","","None","192.168.9.15","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","Remote device type : general-purpose
Confidence level : 99
"
"57608","","5.0","Medium","192.168.9.15","tcp","445","SMB Signing Disabled","Signing is disabled on the remote SMB server.","Signing is disabled on the remote SMB server.  This can allow
man-in-the-middle attacks against the SMB server.","Enforce message signing in the host's configuration.  On Windows,
this is found in the Local Security Policy.  On Samba, the setting is
called 'server signing'.  See the 'see also' links for further
details.",""
"10107","","","None","192.168.9.17","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","The remote web server type is :

Microsoft-IIS/7.5"
"10114","CVE-1999-0524","","None","192.168.9.17","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","The ICMP timestamps seem to be in little endian format (not in network format)
The difference between the local and remote clocks is -915 seconds.
"
"10150","","","None","192.168.9.17","udp","137","Windows NetBIOS / SMB Remote Host Information Disclosure","It is possible to obtain the network name of the remote host.","The remote host listens on UDP port 137 or TCP port 445 and replies to
NetBIOS nbtscan or SMB requests. 

Note that this plugin gathers information to be used in other plugins
but does not itself generate a report.","n/a","The following 4 NetBIOS names have been gathered :

 902-STUDENT2     = Computer name
 WORKGROUP        = Workgroup / Domain name
 902-STUDENT2     = File Server Service
 WORKGROUP        = Browser Service Elections

The remote host has the following MAC address on its adapter :

   00:22:4d:50:81:a8"
"10287","","","None","192.168.9.17","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","For your information, here is the traceroute from 192.168.9.12 to 192.168.9.17 : 
192.168.9.12
192.168.9.17
"
"10342","","","None","192.168.9.17","tcp","5900","VNC Software Detection","The remote host is running a remote display software (VNC).","The remote host is running VNC (Virtual Network Computing), which uses
the RFB (Remote Framebuffer) protocol to provide remote access to
graphical user interfaces and thus permits a console on the remote
host to be displayed on another.","Make sure use of this software is done in accordance with your
organization's security policy and filter incoming traffic to this
port.","
The highest RFB protocol version supported by the server is :

  3.8
"
"10394","","","None","192.168.9.17","tcp","445","Microsoft Windows SMB Log In Possible","It is possible to log into the remote host.","The remote host is running Microsoft Windows operating
system or Samba, a CIFS/SMB server for Unix.  It was 
possible to log into it using one of the following 
accounts :

- NULL session
- Guest account
- Given Credentials","n/a","- NULL sessions are enabled on the remote host
"
